File,Line Start,Line End,Section,Purpose/Description
cycleTimeMoni.py,1,6,Imports,"Import Flask framework: Flask, request, render_template, jsonify"
cycleTimeMoni.py,7,7,Imports,"Import DatabaseManager class from database_manager module"
cycleTimeMoni.py,8,9,Imports,"Import threading (for background tasks) and time (for timestamps)"
cycleTimeMoni.py,11,14,Imports,"Import json, os, subprocess, sys for file I/O, OS operations, and process management"
cycleTimeMoni.py,16,18,Imports,"Import torisql (Toritani SQL interface), pandas (data manipulation), qr_printer (SATO printer)"
cycleTimeMoni.py,20,21,Config,"Define FALSE_TEST_CSV_PATH - path to CSV fallback database for testing"
cycleTimeMoni.py,23,24,Init,"Instantiate db_manager = DatabaseManager() - the MySQL database interface"
cycleTimeMoni.py,26,28,Init,"Create the Flask app object; auto-finds templates/ folder"
cycleTimeMoni.py,30,37,Middleware,"add_no_cache_headers() - after-request hook prevents browser from caching HTML pages"
cycleTimeMoni.py,39,42,Server State,"arduino_signals dict + threading lock - stores pending START/STOP signals from Arduino bridge"
cycleTimeMoni.py,44,48,Server State,"server_timers dict + lock - tracks active server-side timers (works when browser is closed)"
cycleTimeMoni.py,50,53,Server State,"server_counters dict + lock - tracks kitting counter value per process"
cycleTimeMoni.py,55,58,Server State,"server_blocked_counters dict + lock - tracks blocked kitting numbers per process (NG/LINEOUT)"
cycleTimeMoni.py,60,63,Server State,"server_active_kittings dict + lock - which process is working on which kitting number"
cycleTimeMoni.py,65,67,Server State,"last_data_update dict + lock - timestamp of last data change (for graph auto-refresh)"
cycleTimeMoni.py,69,71,Server State,"last_active_date dict + lock - tracks last date system was active (for daily reset detection)"
cycleTimeMoni.py,73,75,Server State,"job_order_start_time dict + lock - when current job order started (for graph filtering)"
cycleTimeMoni.py,77,80,Server State,"processes_started_today dict + lock - flag to disable manpower warning after first process start"
cycleTimeMoni.py,82,84,Server State,"SERVER_START_TIME - epoch timestamp used by browsers to detect server restart and auto-reload"
cycleTimeMoni.py,86,87,Config,"TIMER_STATE_FILE - JSON file path to persist timer state across Flask restarts"
cycleTimeMoni.py,89,90,Config,"LAST_DATE_FILE - JSON file path to persist last active date"
cycleTimeMoni.py,92,93,Config,"JOB_ORDER_FILE - JSON file path to persist job order start time"
cycleTimeMoni.py,95,102,Utility,"save_last_active_date() - write last active date string to JSON file"
cycleTimeMoni.py,104,118,Utility,"load_last_active_date() - read last active date from JSON file on startup"
cycleTimeMoni.py,120,127,Utility,"save_job_order_start_time() - write job order start timestamp to JSON file"
cycleTimeMoni.py,129,143,Utility,"load_job_order_start_time() - read job order start timestamp from JSON file on startup"
cycleTimeMoni.py,145,153,Utility,"set_new_job_order_start() - set current datetime as new job order start time and persist to file"
cycleTimeMoni.py,155,177,Utility,"check_all_processes_same_kitting() - background thread checks if all 9 processes reached same count; triggers graph reset"
cycleTimeMoni.py,179,194,Utility,"save_timer_state_to_file() - persist server timers and counters to JSON in background thread"
cycleTimeMoni.py,196,218,Utility,"load_timer_state_from_file() - load server timers and counters from JSON on startup; discards stale timers (>2hr)"
cycleTimeMoni.py,220,223,Utility,"update_last_data_timestamp() - updates last_data_update timestamp for auto-refresh"
cycleTimeMoni.py,225,277,Daily Reset,"check_daily_reset() - detects new day vs last active date; resets all server state, clears manpower, preserves SQL records"
cycleTimeMoni.py,279,294,Utility,"clear_all_server_state() - manually clear all timers, counters, Arduino signals, and delete state file"
cycleTimeMoni.py,296,308,Startup,"initialize_processes_started_today() - check DB on startup for today's records to set manpower warning flag"
cycleTimeMoni.py,310,317,Route,"@app.route('/') -> main_menu() - serves main_menu.html (main landing page)"
cycleTimeMoni.py,319,323,Route,"@app.route('/cycle_time_home') -> cycle_time_home() - serves home.html (cycle time monitoring homepage)"
cycleTimeMoni.py,325,332,Route,"@app.route('/process1') -> process1() - serves process1.html"
cycleTimeMoni.py,334,341,Route,"@app.route('/process2') -> process2() - serves process2.html"
cycleTimeMoni.py,343,350,Route,"@app.route('/process3') -> process3() - serves process3.html"
cycleTimeMoni.py,352,359,Route,"@app.route('/process4') -> process4() - serves process4.html"
cycleTimeMoni.py,361,368,Route,"@app.route('/process5') -> process5() - serves process5.html"
cycleTimeMoni.py,370,377,Route,"@app.route('/process6') -> process6() - serves process6.html"
cycleTimeMoni.py,379,386,Route,"@app.route('/process7') -> process7() - serves process7.html"
cycleTimeMoni.py,388,395,Route,"@app.route('/process8') -> process8() - serves process8.html"
cycleTimeMoni.py,397,404,Route,"@app.route('/process9') -> process9() - serves process9.html"
cycleTimeMoni.py,406,410,Route,"@app.route('/settings') -> settings() - serves settings.html"
cycleTimeMoni.py,412,416,Route,"@app.route('/standard_time') -> standard_time() - serves standard_time.html"
